X033S 0x325a
DT037 0x3260
X034S 0x3265
DT070 0x3269
X035S 0x3272
ASKCH 0x3278
DT140 0x327b
X036S 0x327e
DT135 0x3284
0CLDE 0x3286
X037E 0x328a
DT160 0x328d
0CHME 0x3291
DT288 0x3296
X038N 0x329d
DT285 0x329f
DT300 0x32a8
X039E 0x32ac
DT450 0x32b1
DT460 0x32ba
X040S 0x32c3
DT470 0x32cc
X041T 0x32cd
DT290 0x32d5
DTSSS 0x32de
3UTXT 0x32e6
DTOD1 0x32e7
X042C 0x32eb
EEILP 0x32ec
DTOD2 0x32f0
X043T 0x32f3
DISPE 0x32f9
X044F 0x32fa
FOCTU 0x32ff
X045B 0x3302
X046Y 0x330e
X046X 0x3312
7INBT 0x3313
X047X 0x3315
X048C 0x3318
9BBHD 0x3321
X049S 0x3324
FDRI2 0x332a
X050R 0x3331
X051W 0x3338
X052N 0x3343
X053N 0x334a
X054R 0x3352
X176P 0x3357
X056X 0x335c
X057X 0x3361
FDRI1 0x3362
X058X 0x3366
BIGDI 0x3368
X0597 0x336b
X060X 0x336f
X061S 0x3373
X062I 0x337b
X063C 0x3382
X064B 0x3389
X065U 0x338f
X066S 0x3397
D1DF0 0x3399
X067S 0x33a1
D1DF1 0x33a4
X068S 0x33ab
D1DF2 0x33af
X069S 0x33b6
D1DF3 0x33ba
X070P 0x33c5
X071N 0x33cb
X072N 0x33d1
X073P 0x33d6
X074P 0x33e7
X075X 0x33f8
EMTOF 0x33fc
SRSTA 0x33fd
PCCS 0x33fe
PITEX 0x3400
ID11 0x3402
WT11 0x3405
X077I 0x340c
X078S 0x3416
MFBBC 0x3419
PSTUP 0x341c
X079P 0x3420
BBCLB 0x3423
PRW 0x3426
X080T 0x3429
DF2BB 0x342a
IRWAI 0x342b
X081T 0x342e
BMENT 0x3431
MRFI 0x343a
MRFO 0x343c
D2DF0 0x343d
XLX01 0x3442
D2DF1 0x3448
X082P 0x344a
SLV11 0x3451
AOC11 0x3452
D2DF2 0x3453
BRET 0x3458
X083C 0x345d
D2DF3 0x345e
SWAPP 0x3461
XRTCH 0x3465
RTCHE 0x3468
X084T 0x346a
P2IPI 0x346f
X085C 0x3481
FINBT 0x3486
ILMER 0x348c
DIREX 0x3494
MPIOM 0x3496
XMLGI 0x3498
X086C 0x349c
M500 0x349e
MMLAM 0x34a0
BMFIX 0x34a2
BMCAL 0x34a7
X087E 0x34a8
BBCAL 0x34ab
DF2BC 0x34b0
SBOUT 0x34b1
MOCOM 0x34b5
FOUTB 0x34b6
MT4 0x34ba
X088T 0x34c5
MOFIA 0x34d4
X089X 0x34d5
MOFIB 0x34d6
MOFI2 0x34d8
5INB 0x34e0
RRSIO 0x34e1
MOFIL 0x34e5
5OUTB 0x34e7
X090T 0x34eb
D3DF1 0x34ec
OUTBT 0x34ed
D3DF2 0x34f7
MCAL 0x34fe
X091T 0x34ff
D3DF3 0x3502
X092T 0x3506
X093T 0x350d
MFIX 0x3511
X094T 0x3518
MSIBA 0x351a
MSIB 0x351c
X198P 0x3523
X096T 0x3529
X097T 0x3531
INBT 0x3539
X098T 0x353f
MORET 0x3547
X099T 0x3549
BIGD4 0x3554
X100T 0x3555
X101T 0x3565
MRETB 0x356c
X102T 0x3575
WT 0x3579
MOINF 0x3580
X103T 0x3584
D4DF0 0x3585
D4DF1 0x3590
X104S 0x3593
X105T 0x3599
D4DF2 0x359b
SSPAL 0x359f
MSTUS 0x35a0
X106T 0x35a3
D4DF3 0x35a6
RTWT 0x35a8
CHBME 0x35ab
PBRTE 0x35ad
PSBRT 0x35ae
X107E 0x35b3
PRTEX 0x35bb
X108T 0x35cc
IFTRM 0x35da
X109T 0x35de
PWFAI 0x35e4
X110S 0x35e7
X111S 0x35ec
WIGDI 0x35f8
X112T 0x35f9
MNSTA 0x35fb
X113N 0x360b
X114T 0x3620
W1DF0 0x3629
X115T 0x362d
W1DF1 0x3634
X116T 0x3636
ICLK 0x363b
X117E 0x363e
X118S 0x364c
X119I 0x3651
X120T 0x3658
LOCAC 0x365c
USESC 0x3665
MESCA 0x366e
T1P12 0x3679
X121T 0x3680
WIGD2 0x3686
X122R 0x3688
X123I 0x3695
X124I 0x369d
X125S 0x36a6
X126S 0x36b2
WDX 0x36b3
W2DF0 0x36b7
SETPT 0x36ba
X127S 0x36bf
W2DF1 0x36c2
X128S 0x36cb
9ESTR 0x36cd
TERWD 0x36d3
X155O 0x36d6
BFQUE 0x36da
X130S 0x36de
BBRTW 0x36e6
X131A 0x36e8
BRTWT 0x36ea
YBRTW 0x36ef
X132G 0x36f3
USRTW 0x36f4
XBRTW 0x36f7
X133D 0x3705
X134S 0x370b
EMPTE 0x370f
X135S 0x3712
X137I 0x371a
X138T 0x3723
ACTEF 0x3725
X139T 0x372e
X140T 0x373d
IORES 0x373f
5IORE 0x3740
FIORE 0x3741
EBUTM 0x3746
X141D 0x374a
SLV10 0x374b
X142M 0x375d
ID10 0x375f
WT10 0x3762
X143I 0x376d
M8OUT 0x376f
B8OUT 0x3771
X144A 0x377b
X145A 0x3783
X146C 0x3787
ID12 0x378b
WT12 0x378e
X147A 0x3796
T2P01 0x3799
T2P02 0x379c
X148S 0x379d
X151L 0x37a4
X152N 0x37af
ID13 0x37b6
WT13 0x37b9
X153E 0x37ba
X154I 0x37c6
X156B 0x37ce
X157B 0x37d8
M8INB 0x37dc
B8INB 0x37de
B4INW 0x37e0
T8INP 0x37e2
X158B 0x37e8
X159B 0x37f0
X160N 0x37fb
NDPIT 0x3800
X161B 0x3804
GAPFD 0x3806
CALLM 0x3807
X162T 0x380c
T2P03 0x380f
T2P04 0x3814
X163T 0x3816
T2P05 0x3819
X164T 0x3821
X165N 0x3831
MTRNS 0x3835
NNC40 0x3836
X166U 0x3838
ELDAT 0x383f
X167B 0x3843
X168N 0x384f
X185G 0x3857
X170B 0x3859
RETRA 0x385a
TAD8R 0x385b
M8RET 0x385f
MOURE 0x3860
X171I 0x3862
CCM01 0x3868
X172O 0x387d
M8OTE 0x387f
MDECI 0x3881
B8OTE 0x3882
X173B 0x3898
X174R 0x389f
MSTRN 0x38a1
X177I 0x38a9
ERSTB 0x38aa
X178A 0x38b2
X179U 0x38b7
M8INT 0x38b9
X180L 0x38ba
ERTAB 0x38bb
X181X 0x38c0
X182D 0x38c3
DMONI 0x38d2
X183D 0x38d4
LEV1 0x38d6
MURES 0x38d9
XINSP 0x38db
X184D 0x38eb
PPAGE 0x38f4
P2PAG 0x38f6
X186R 0x38f9
XRTEX 0x3901
M8IBT 0x3903
X187C 0x3908
XREMP 0x3909
X188G 0x390f
X189S 0x3917
X190S 0x3924
YINSP 0x3927
YREMP 0x3929
CBREL 0x3936
INSEG 0x3937
LEV14 0x393e
CBRES 0x3941
X191S 0x3943
LAMAR 0x3946
LNK1S 0x3947
OUTSE 0x394e
X192S 0x3956
B8INT 0x395c
X193S 0x3969
MLBLE 0x396a
MLRES 0x396c
PAGEF 0x396d
MLREL 0x3972
MLBRE 0x3977
X194P 0x397c
MLBRS 0x397e
MLLOG 0x3985
X195P 0x3986
WREEN 0x3991
X196T 0x3995
MNINI 0x3999
X197T 0x399d
XRTAB 0x39ab
X199T 0x39ad
X202T 0x39b6
X203O 0x39be
ND5T1 0x39c4
X204B 0x39c8
X205P 0x39d1
IPTMA 0x39d3
X206T 0x39db
X207P 0x39e7
LIMCH 0x39e9
B4INT 0x39ea
X208P 0x39f7
X209F 0x3a04
X210F 0x3a0f
SINCH 0x3a15
X211C 0x3a19
FINDS 0x3a1c
X212F 0x3a20
X213F 0x3a2a
LNKSE 0x3a2e
X214A 0x3a33
LNKXS 0x3a39
X215P 0x3a3e
1CLAM 0x3a3f
SLAMU 0x3a43
CLAMU 0x3a45
X217N 0x3a4c
X218T 0x3a5c
X219S 0x3a69
X220S 0x3a75
X221G 0x3a84
M8OIN 0x3a8b
MRLCL 0x3a8e
X222C 0x3a93
B8OIN 0x3a98
X223T 0x3a9a
S13ER 0x3a9b
XERCR 0x3a9d
S14ER 0x3a9f
S16ER 0x3aa3
DISKE 0x3aa9
X224T 0x3aab
CLSEG 0x3aac
XERSG 0x3ab3
XLX02 0x3ab9
SP02J 0x3abb
X225T 0x3ac0
XERLC 0x3ac4
M88IW 0x3acb
CRSEG 0x3acc
BLEVS 0x3ad3
XLX03 0x3ada
SP10J 0x3adc
X226C 0x3ade
X227X 0x3ae0
COMAB 0x3ae4
ABLOO 0x3ae9
STRSE 0x3aea
XMG48 0x3aee
XLX04 0x3af3
SP03J 0x3af5
LOCOS 0x3afe
TRAPT 0x3b04
STSEG 0x3b0e
B8IWO 0x3b18
XLX05 0x3b1b
SP04J 0x3b1d
OCOTI 0x3b1e
AOC12 0x3b1f
OCTOT 0x3b2e
ABL1 0x3b2f
CLPAG 0x3b31
AOC10 0x3b3a
STPAG 0x3b3d
XCLSE 0x3b52
B8IIN 0x3b54
SP05J 0x3b5a
SOCTO 0x3b66
IOCTO 0x3b69
OCTOI 0x3b6b
NDIXT 0x3b6e
SP11J 0x3b73
GCOM 0x3b77
CLERT 0x3b89
SETRT 0x3ba3
T5ERR 0x3bae
T5TRP 0x3bba
SAGPA 0x3bbb
SEGCH 0x3bbf
SGPAR 0x3bc0
AGPAR 0x3bc5
TOCTM 0x3bc6
XGPAR 0x3bcb
GPAR 0x3bd0
TACCP 0x3bd2
TMICP 0x3bde
NSWPA 0x3be0
5OKRE 0x3be4
T5TMO 0x3bea
CLNRE 0x3c03
SP06J 0x3c04
NINIT 0x3c09
5SGAL 0x3c1f
KICKS 0x3c27
OMDRE 0x3c2c
B4IIN 0x3c2e
IDRES 0x3c30
CUMTA 0x3c33
SEGMO 0x3c39
XCSEG 0x3c3f
RSGMO 0x3c46
USIOX 0x3c47
5EXMR 0x3c53
MMPIO 0x3c57
5PUTL 0x3c66
1PUGT 0x3c74
SP12J 0x3c7d
0HDTA 0x3c7f
5GETL 0x3c86
CSEGS 0x3c8c
GETCA 0x3c99
5GSYD 0x3cc1
5GNSE 0x3cda
SOCTW 0x3ce2
OCTWR 0x3ce4
EFQUE 0x3ce8
CHREE 0x3ced
0HDEN 0x3cf7
0LPTA 0x3cf8
5GDSE 0x3cfa
B8INS 0x3d0e
0SPTA 0x3d19
DEC2 0x3d1e
SCDI1 0x3d22
SHADL 0x3d27
RESNA 0x3d28
XMINA 0x3d2a
CLFOR 0x3d2b
RTOUT 0x3d3d
PRIRT 0x3d58
O5FIF 0x3d5f
RELNA 0x3d65
B8OUS 0x3d6b
3OUTT 0x3d71
XCALC 0x3d72
NUPAR 0x3d79
ACTDR 0x3d81
FREE2 0x3d83
RT 0x3d90
AOUTT 0x3d91
0SYMT 0x3d92
MB2FR 0x3d96
5DTUP 0x3d9b
PRIOR 0x3d9c
TBUDM 0x3d9f
MB2RE 0x3da2
SCDI2 0x3da5
SEGIN 0x3da9
TEXTN 0x3db2
MB2OM 0x3db5
SRCHI 0x3db7
ERABO 0x3dbe
ABORT 0x3dd1
ROFIP 0x3dd2
MB2SE 0x3de1
6OOPE 0x3de8
OMDCH 0x3df5
FREST 0x3e20
RBGUF 0x3e25
SCDI3 0x3e28
PRSRV 0x3e3e
RESRV 0x3e43
EXECC 0x3e48
PRLS 0x3e67
RELES 0x3e6e
FESC1 0x3e7a
WHERE 0x3e8b
SEMES 0x3e96
MALTN 0x3ea6
SCDI4 0x3eab
SKICK 0x3eac
SIDEN 0x3eae
MALTF 0x3ecb
SMLDA 0x3ed0
S5TSL 0x3ee4
CNCNT 0x3ee8
RDSC 0x3f04
5S1TS 0x3f05
5R1TS 0x3f07
SMDEC 0x3f12
MBSEN 0x3f15
LRU 0x3f20
SCDI5 0x3f2e
3PMOU 0x3f39
E5PIT 0x3f3d
PMOUT 0x3f59
CHTER 0x3f7a
TIMBO 0x3f85
TIMOU 0x3f99
OMBRE 0x3fb0
SCDI6 0x3fb1
SNAMS 0x3fc9
NAMSR 0x3fd0
RSREC 0x3fe5
CPRIM 0x3fff
NRPIT 0x4000
FPT2E 0x4003
RTFEL 0x400c
DOMD 0x4010
GETLA 0x4019
STCH 0x4025
ECONO 0x402d
CONOM 0x4032
SCDI7 0x4034
YESNO 0x4041
MBDYN 0x404f
GETXS 0x4052
KGPAR 0x4056
SEGSO 0x406c
CHTAC 0x406d
SP07J 0x4070
CMFFL 0x4077
SP07L 0x4095
MRSEG 0x409a
SCDI8 0x40b7
ADRZO 0x40bf
ADROU 0x40c4
OCT3 0x40cd
OCTU 0x40d5
DCONO 0x40d7
RANDO 0x40e0
DOCTU 0x40ee
DTDEC 0x4107
DECU 0x410b
SP08L 0x4118
DMSTR 0x4121
INTV 0x4124
DINTV 0x412b
4DECU 0x412c
ECONI 0x4137
SET 0x4138
SCOD1 0x413a
CONID 0x413e
DSET 0x413f
SVERA 0x4145
SVLET 0x414e
SVER4 0x4150
SVER5 0x4152
USTX5 0x4156
LUSTX 0x4157
USTX4 0x4158
UDD4 0x415a
USTXT 0x416a
UDD 0x416b
XTRNS 0x417a
ABS1 0x4180
TRNSE 0x4182
DABST 0x4189
HOLD 0x41a5
SMDDE 0x41b7
RWSEG 0x41bc
SCOD2 0x41bd
DCONI 0x41be
TMOUT 0x41cb
TIME 0x41e7
SM2DE 0x41e9
CLOCK 0x41ee
CONKI 0x41f5
XPERC 0x41f7
PERCE 0x41fd
XKXXX 0x4200
GSTAT 0x4218
CLADJ 0x421f
EREST 0x4220
DPERC 0x422a
GVERS 0x422e
1OMDF 0x4231
SCODE 0x4232
DOMDF 0x4234
OINPA 0x423a
XRXXX 0x4240
ORETP 0x4243
ORETS 0x424c
OCTMO 0x4258
ADOML 0x4266
UPDAT 0x4267
NKMBU 0x426a
SMBEG 0x426b
TSLAN 0x426c
TSLOR 0x4272
XSTOP 0x4277
FRTSL 0x4278
LINKO 0x427c
X412B 0x4280
XEFSU 0x4281
XEFSD 0x4282
XEFTO 0x4283
XEFAR 0x4284
XEFIP 0x4285
XEFOV 0x4286
XEFNP 0x4287
XEFIE 0x4288
XEFLT 0x4289
XEFRT 0x428a
XEFRU 0x428b
CLCON 0x429d
C9GTL 0x42a5
CCNN 0x42a6
EXSTO 0x42b1
STAGP 0x42b7
1OKRE 0x42b9
STOGP 0x42c1
TUSED 0x42c3
1NOTO 0x42cc
XSBPR 0x42ce
1FU2 0x42d3
1FU3 0x42d8
STERM 0x42db
1FU4 0x42dd
DOM01 0x42e0
1FU5 0x42e2
ODISP 0x42f8
DOM02 0x42ff
SRTON 0x4304
MEMSS 0x430f
XOVER 0x4313
GSGNO 0x4314
GRTDA 0x4316
1FU7 0x4317
DOM03 0x431e
SRTDL 0x4320
DOM04 0x433d
SP09L 0x434e
SMSTR 0x4351
SMCCL 0x4359
DOM05 0x435c
6IDMA 0x4361
6IDTA 0x4365
6EIDT 0x4369
XBLOG 0x436c
1FU10 0x4371
6ERRP 0x4377
6ERRO 0x437a
DOM06 0x437b
CLUST 0x437c
NSAVA 0x437d
BBASE 0x437e
RRTSA 0x4384
RSSSA 0x4386
R1PHS 0x4388
R1DSA 0x438a
R1PHI 0x438c
R1DME 0x438e
R1DIM 0x4390
R1RME 0x4392
R1RIM 0x4394
R1RSA 0x4396
R1IME 0x4398
R1IIM 0x439a
R1ISA 0x439c
NSTAR 0x439d
R1MME 0x439e
R1MIM 0x43a0
R1MSA 0x43a2
W1PHS 0x43a8
WRTSA 0x43aa
WSSSA 0x43ac
W1DSA 0x43ae
W1PHI 0x43b0
W1DME 0x43b2
W1DIM 0x43b4
W1RME 0x43b6
W1RIM 0x43b8
DOM10 0x43b9
W1RSA 0x43ba
W1IME 0x43bc
W1IIM 0x43be
W1ISA 0x43c0
W1MME 0x43c2
NKINI 0x43c3
W1MIM 0x43c4
W1MSA 0x43c6
WPHBA 0x43cf
WRTBA 0x43d1
MOUTS 0x43d2
WSSBA 0x43d3
1OUTS 0x43d4
WDSBA 0x43d5
WPHIB 0x43d7
DOM11 0x43d8
WDIBA 0x43d9
WRIBA 0x43db
WRSBA 0x43dd
WIIBA 0x43df
WISBA 0x43e1
WMIBA 0x43e3
WMSBA 0x43e5
SMWSE 0x43e6
RDSAV 0x43eb
RDMEM 0x43ed
RDIMA 0x43ef
RSGSP 0x43f0
DOM12 0x43f7
STSLU 0x4400
3SRCO 0x4406
DOM13 0x4416
MLGRS 0x4417
SREMO 0x4434
DOM14 0x4435
9ENTO 0x4445
STSLI 0x4447
RMVPG 0x4448
DOM15 0x4454
DOM16 0x4473
NKSEN 0x4479
1XCLS 0x447b
1XSSE 0x4481
DOM17 0x4492
ENRG3 0x4495
PL002 0x449a
MBI50 0x44a3
DOM20 0x44b1
ESCQE 0x44c0
9EEHD 0x44ca
ESCER 0x44cc
4ENPC 0x44f1
ENTOP 0x44f2
4DISP 0x44f5
CLFIE 0x44fb
CLCFI 0x4500
OERRF 0x4507
IERRF 0x4513
4DISM 0x451b
NWBPA 0x452a
ERSIN 0x452b
4ENMC 0x4533
ERSUT 0x4543
GRBUF 0x4547
G4BUF 0x454f
IDXIN 0x4559
IDXUT 0x4571
3ERRB 0x4587
NW2PA 0x4593
SINTR 0x45a5
DPFLG 0x45d7
DF1 0x45d8
DF2 0x45ff
LIREE 0x461f
DF3 0x4626
NKREC 0x463e
DF7 0x464d
PL003 0x4669
DF5 0x4674
RRBUF 0x4675
LRESE 0x4679
R4BUF 0x467d
DF8 0x469b
DF9 0x46c2
DF10 0x46e9
NKREA 0x46fd
NKWRI 0x4709
DF11 0x4710
NKINS 0x4715
DF12 0x4737
PL004 0x474d
TIMER 0x4756
DF13 0x475e
DF20 0x4785
DF14 0x47ac
NKGET 0x47ba
WAITF 0x47cf
PL005 0x47d2
DF21 0x47d3
FDTMS 0x47f7
MTMRS 0x47f9
DF25 0x47fa
EERG3 0x47ff
NSPIT 0x4800
REECS 0x4801
REECO 0x4802
SCTRS 0x4805
IOSET 0x4811
CVCAL 0x4814
FINIV 0x481a
DF26 0x4821
FEILV 0x4824
BUSYV 0x482a
TLPRI 0x4830
DF41 0x4848
CIBUF 0x4850
COBUF 0x4855
DF42 0x486f
ISIZE 0x4883
NKTRA 0x4884
T1P01 0x4895
DFRRT 0x4896
OSIZE 0x4899
PL006 0x489c
T1P02 0x48aa
GZTRE 0x48be
FDATA 0x48d7
NKICK 0x48ec
DALM1 0x48ed
XP131 0x48f2
XDILF 0x48f4
DILBU 0x48f7
XDILD 0x4905
SERVS 0x4909
BRKM 0x4915
CTRMA 0x4920
PL007 0x4923
PL008 0x4927
REECE 0x492e
REECT 0x492f
TMMT1 0x4937
SSSLE 0x4948
SSLEA 0x494a
ECHOM 0x4960
SMFIL 0x4963
RDISK 0x497c
WDISK 0x4981
T1P03 0x4984
PL009 0x498b
SETEV 0x4990
STMT1 0x4992
MSTTY 0x4996
MGTTY 0x4998
T1P04 0x49c5
NOWAI 0x49e3
TNOWA 0x49e6
DKICK 0x49e7
PL010 0x4a0e
TMMT2 0x4a0f
T1P05 0x4a11
EXIOX 0x4a1f
ACONV 0x4a41
LSTC 0x4a4a
NKLOC 0x4a5c
STMT2 0x4a6a
DRTDE 0x4a70
IPTCH 0x4a74
XPTCH 0x4a81
NKUNL 0x4a8c
PUTW 0x4a8f
IGTCH 0x4a9c
NKCHE 0x4a9f
XGTCH 0x4aa1
GETW 0x4aa7
ISTDV 0x4aac
OSTDV 0x4ab6
MTDI1 0x4abd
INIOS 0x4acf
MTDO1 0x4adf
TTIMR 0x4ae2
NKRDE 0x4ae6
MFIN 0x4afa
CTNMA 0x4b04
MTDI2 0x4b08
DSTEN 0x4b0f
XFIN 0x4b11
RNMSG 0x4b1a
MTDO2 0x4b2a
REETE 0x4b43
PL011 0x4b49
MTDI3 0x4b53
GOMAG 0x4b58
TETTO 0x4b5a
GNMSG 0x4b63
MTDO3 0x4b75
SELAR 0x4b7a
MAGTR 0x4b86
FREES 0x4b8f
MBUSY 0x4b91
MTDI4 0x4b9e
GWAIT 0x4ba3
XMBUS 0x4ba4
DLRET 0x4ba7
TDGET 0x4bb5
TTGET 0x4bb7
MFEIL 0x4bbd
MTDO4 0x4bc0
NMOVW 0x4bc2
ASKAR 0x4bd9
PL012 0x4be5
M2DI1 0x4be9
LEGSC 0x4bf5
NFU00 0x4c00
55DLR 0x4c01
M2DO1 0x4c0b
GSGAN 0x4c10
TTWGE 0x4c21
5DFRE 0x4c28
5DLRE 0x4c2a
GECHO 0x4c2c
M2DI2 0x4c34
55DFR 0x4c3d
CHRTD 0x4c42
CTRTI 0x4c44
DPREE 0x4c48
REEDU 0x4c4c
MFRES 0x4c52
FINTA 0x4c54
M2DO2 0x4c57
IINTA 0x4c5a
DTMAG 0x4c68
RTMAG 0x4c6b
TAPBY 0x4c76
NFU02 0x4c77
FDMTA 0x4c7b
CTRTO 0x4c7c
M2DI3 0x4c7f
IDMTA 0x4c81
TRFIN 0x4c82
DTINI 0x4c95
FDSTA 0x4c9b
IDSTA 0x4ca1
DTRET 0x4ca4
TFRST 0x4ca8
TFRSE 0x4cb2
NFU03 0x4cb6
TFRGE 0x4cbd
PL013 0x4cbf
ITIMT 0x4cc4
RTIMT 0x4cc8
M2DI4 0x4cca
TRGET 0x4cd4
RSTDE 0x4cd9
BSTDE 0x4cdd
DTAPT 0x4ce6
ERDEC 0x4ce7
M2DO4 0x4ced
INSTA 0x4cf1
CONCT 0x4cfb
UTSTA 0x4cfe
PL014 0x4d0d
SCFQP 0x4d0f
SCRSQ 0x4d10
SCCLR 0x4d11
SRTMR 0x4d12
SLTMR 0x4d13
CERR1 0x4d14
DTPAR 0x4d20
DSCNT 0x4d38
INORO 0x4d3a
SFTIM 0x4d56
NFU07 0x4d57
SCSI1 0x4d58
MTERM 0x4d5d
PL015 0x4d68
CRSRT 0x4d74
CRLRT 0x4d7e
CRESE 0x4d88
DLREE 0x4d8d
IIDTA 0x4d8e
RIDTA 0x4d90
IEIDT 0x4d92
REIDT 0x4d94
SFFUN 0x4d98
TFDIS 0x4da7
SCSI2 0x4db1
T1P06 0x4db5
SCSDB 0x4dc6
GTMOD 0x4dce
PL016 0x4dd1
SCST1 0x4dec
GVSTR 0x4df6
SS1I0 0x4e05
SNUCL 0x4e0f
MCDES 0x4e10
MCEES 0x4e12
PL017 0x4e21
SS1O0 0x4e27
T1P07 0x4e2e
MSDAE 0x4e38
MGDAE 0x4e3a
BPOPE 0x4e3c
PROPE 0x4e3e
T1P08 0x4e44
S1U0R 0x4e48
USCNT 0x4e50
SYCNT 0x4e55
NRETM 0x4e5c
NCHBU 0x4e6e
STSUP 0x4e77
FINFD 0x4e84
RWLSG 0x4e85
PL018 0x4e93
ADUMP 0x4e94
ODUMP 0x4e96
SCST2 0x4e9e
SS2I0 0x4eb7
GTADR 0x4ec0
LGPAG 0x4ec4
NURET 0x4ecd
SS2O0 0x4ed9
BFY4I 0x4edf
N5FU0 0x4ef4
S2U0R 0x4efa
N5FU1 0x4f19
SCSDE 0x4f2a
N5FU2 0x4f37
PL019 0x4f47
SCMT1 0x4f4c
CFDIS 0x4f50
FLV1S 0x4f54
BFY1I 0x4f55
FDIBU 0x4f5c
NKBRE 0x4f60
5NFUN 0x4f61
5NMES 0x4f62
5NDIS 0x4f63
5MAXI 0x4f64
5NBSI 0x4f65
5NBLE 0x4f66
5UADD 0x4f67
FDIFE 0x4f68
5N1AD 0x4f69
5N2AD 0x4f6a
5NSTA 0x4f6b
5NBMO 0x4f6c
5NMBU 0x4f6d
N5FU3 0x4f6f
IBACK 0x4f76
RBACK 0x4f78
ND852 0x4f85
PL020 0x4f8d
BFTIO 0x4fb6
SCMT2 0x4fc1
MNOTI 0x4fcb
MNITI 0x4fe8
NMPIT 0x5000
SCMDE 0x5014
PL021 0x5015
DUSSU 0x5019
SCDDF 0x501c
SCODF 0x5038
DURSU 0x503a
N5FU5 0x503b
SCSDF 0x5040
SCTDF 0x5044
N5FU6 0x5046
ENUCL 0x5053
VEFIE 0x507a
5SERV 0x5089
NURPR 0x508a
5OPCO 0x508b
DURPR 0x508e
VEDO1 0x5094
MNCTI 0x50a5
1NURE 0x50ab
OPCOR 0x50bb
5NURE 0x50c3
PL022 0x50c4
OPCOM 0x50ce
MNOST 0x50e2
VE2FI 0x50e3
MNIST 0x50eb
MTOTI 0x50f4
VEDO2 0x50fd
NCALL 0x5107
LIURP 0x5108
MTITI 0x510c
USDRV 0x510d
PL023 0x511e
UDDRV 0x511f
UBUSY 0x5122
UFIN 0x5125
ERRS 0x5127
EROPC 0x5128
TFILE 0x512f
OPCFI 0x5132
UD11T 0x513e
DVSTR 0x5154
DFPRM 0x515b
UECHE 0x5164
MTOST 0x5176
MTIST 0x5183
MTIOS 0x5188
FDID1 0x518d
PL024 0x5195
IMINI 0x519b
F1U0I 0x51a6
IMEND 0x51b1
SETOL 0x51b6
COMSB 0x51bb
UECOM 0x51c1
IMPUT 0x51c6
IMGET 0x51c8
F1U0O 0x51c9
P2MPI 0x51ce
PMTRA 0x51d0
UELOG 0x51d6
GPIBH 0x51d8
XERR 0x51e5
IOREM 0x51e6
GPFER 0x51e8
F1U1I 0x51ee
F1U1O 0x5211
MYGTL 0x5216
MBABP 0x521f
SMGFI 0x5220
GPIBT 0x5228
SATER 0x522a
F1U2I 0x5236
F1U2O 0x5259
CR 0x526a
PL026 0x5291
FDID2 0x52eb
PL027 0x52f2
IOUT 0x52ff
F2U0I 0x5304
RSIO 0x5318
F2U0O 0x5327
T2P08 0x5328
GBGSZ 0x532b
CHNLG 0x5338
GPBUS 0x533a
MBECH 0x533e
GPFIN 0x5343
F2U1I 0x534c
PL028 0x534f
SMTBR 0x536d
F2U1O 0x536f
CGMLE 0x5385
SINCO 0x5389
F2U2I 0x5394
DLSGF 0x53b1
DEFSG 0x53b3
CBMLE 0x53b5
F2U2O 0x53b7
PL029 0x53c5
CBF2 0x53cf
IOMTY 0x53e5
MBFDI 0x53f3
N500D 0x53f7
SMTRA 0x5402
PL030 0x5415
GPERR 0x5416
3COMT 0x543f
CMTRA 0x5444
SRETR 0x5459
HITRN 0x546a
PRKEY 0x5473
PL031 0x5491
S5CPU 0x5492
HOTRN 0x5499
5CPU2 0x54b8
CTROD 0x54c5
PL033 0x54ca
RATER 0x54d3
5CPU3 0x54de
SCAPS 0x54ea
E5CPU 0x5504
GCAPS 0x5505
HDIBU 0x5511
GPIBD 0x5514
HDOBU 0x551b
FPL3A 0x551d
HDIFE 0x5524
HDOFI 0x5528
HDOFE 0x5530
SBRKM 0x553c
CTRID 0x553e
HDITI 0x5553
HDOTI 0x555d
CLMLE 0x5569
SECHO 0x5571
CLTRA 0x558e
PL034 0x55ab
LPL3A 0x55b3
GBRKM 0x55c1
CRBIN 0x55da
HDMI1 0x55db
CLP10 0x55e1
TRDLP 0x55ef
GGECH 0x55fa
HDMO1 0x5614
SCOPS 0x561d
SSTER 0x5628
HDFI1 0x562a
HDFO1 0x5640
IIIOX 0x5641
RFIOX 0x5643
NWR10 0x5655
C5LFI 0x5659
C5LPL 0x565a
NWR50 0x565b
WRCH 0x565f
EBHO 0x5660
CBHOL 0x5661
TRMOD 0x5662
MNDF0 0x5669
MNNA0 0x5675
MNID0 0x5680
LISCO 0x568e
MNOD0 0x56a0
MGTER 0x56a5
PL035 0x56a7
MCHDV 0x56ae
GPITR 0x56bc
MUDMA 0x56be
MNDF1 0x56c6
SUNMO 0x56d1
MNNA1 0x56d2
MNID1 0x56dd
IMTRI 0x56e1
PL036 0x56fb
MNOD1 0x56fd
GLOGD 0x5713
WRDIL 0x571c
MNDF2 0x5723
11EID 0x572a
IMTRO 0x572d
MNNA2 0x572f
MNID2 0x573a
DVDIL 0x5742
PL037 0x5743
MNOD2 0x575a
NACCO 0x5767
MNTAB 0x577a
5TTST 0x5783
DT01R 0x5787
DT01W 0x5792
